SlNo,DIST_NAME,DIST_ID,block_name,BLK_NAME01,id,T_max1,T_max2,T_max3,T_max4,T_max5,T_Min1,T_Min2,T_Min3,T_Min4,T_Min5
82,GAJAPATI,10,Parlakhemundi(Gosani),Parlakhemundi(Gosani),82,38,37,38,38,38,26,25,26,27,29
171,KEONJHAR,18,Patana,Patana,171,39,38,39,40,40,26,25,26,27,29
100,GANJAM,11,Patrapur,Patrapur,100,38,37,38,38,38,26,25,26,27,29
164,KENDRAPARA,17,Pattamundai,Pattamundai,164,38,38,39,40,39,26,25,26,27,29
154,KANDHAMAL,16,Phiringia,Phiringia,154,42,42,42,43,43,26,25,26,27,29
155,KANDHAMAL,16,Phulbani,Phulbani,155,42,42,42,43,43,26,25,26,27,29
269,PURI,26,Pipili,Pipili,269,38,38,39,40,39,26,25,26,27,29
211,MALKANGIRI,21,Podia,Podia,211,40,41,40,40,40,26,25,26,27,29
93,GANJAM,11,Polasara,Polasara,93,38,38,38,39,39,26,25,26,27,29
193,KORAPUT,20,Pottangi,Pottangi,193,38,38,39,39,38,26,25,26,27,29
41,BALANGIR,5,Puintala,Puintala,41,43,43,43,44,44,26,25,26,27,29
270,PURI,26,Puri,Puri,270,37,37,38,38,38,26,25,26,27,29
91,GANJAM,11,Purusottampur,Purusottampur,91,37,36,37,37,37,26,25,26,27,29
86,GAJAPATI,10,R. Udaygiri,R. Udaygiri,86,38,38,39,39,38,26,25,26,27,29
113,JAGATSINGHPUR,12,Raghunathpur,Raghunathpur,113,38,39,39,40,40,26,25,26,27,29
245,NAWARANGAPUR,23,Raighar,Raighar,245,40,40,41,41,41,26,25,26,27,29
156,KANDHAMAL,16,Raikia,Raikia,156,40,40,40,41,41,26,25,26,27,29
290,SAMBALPUR,28,Rairakhol,Rairakhol,290,42,42,43,43,43,26,25,26,27,29
228,MAYURBHANJ,22,Rairangpur,Rairangpur,228,39,39,40,40,40,26,25,26,27,29
306,SUNDARGARH,30,Rajagangapur,Rajagangapur,306,42,42,43,44,43,26,25,26,27,29
30,BARAGARH,3,Padmapur,Padmapur,30,42,42,42,43,43,26,25,26,27,29
167,KENDRAPARA,17,Rajkanika,Rajkanika,167,39,38,39,40,39,26,25,26,27,29
166,KENDRAPARA,17,Rajnagar,Rajnagar,166,39,38,39,40,39,26,25,26,27,29
279,RAYAGADA,27,Ramanguda,Ramanguda,279,38,38,39,39,39,26,25,26,27,29
